GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
0400000US01,01,Alabama,718001,8608,207853,4264,71664,2507,169224,4476,131934,3330,137326,3636
0400000US02,02,Alaska,125550,2963,48240,1975,12608,901,18375,1202,18295,1121,28032,1598
0400000US04,04,Arizona,1123092,8905,370070,5286,102622,2763,246251,5139,172362,3975,231787,4336
0400000US05,05,Arkansas,392263,6104,112330,2697,39511,1470,85467,3103,82075,2243,72880,2262
0400000US06,06,California,7448869,24632,3017787,14647,583661,8722,1384158,10889,568146,7902,1895117,11698
0400000US08,08,Colorado,1247506,8054,479791,6140,101327,2589,249588,4574,135846,3003,280954,4569
0400000US09,09,Connecticut,887730,6748,324587,4252,73406,2334,176299,3727,102887,2338,210551,3665
0400000US10,10,Delaware,174868,2814,63207,1742,15654,1036,36757,1593,23845,1265,35405,1368
0400000US11,11,District of Columbia,221651,2414,106363,2408,8160,785,25945,1073,10300,810,70883,2172
0400000US12,12,Florida,3480002,18250,1102498,11277,335041,6081,840096,8748,523200,7728,679167,8036
0400000US13,13,Georgia,1754259,13533,556900,7483,151377,4043,434824,6345,247506,4917,363652,5795
0400000US15,15,Hawaii,278389,3948,98686,2702,23503,1153,55588,1735,37981,1394,62631,2283
0400000US16,16,Idaho,251129,4372,87264,2845,25248,1484,44915,1853,42499,2053,51203,2316
0400000US17,17,Illinois,2656127,13668,866601,7668,241046,4355,581970,7317,372836,5470,593674,7503
0400000US18,18,Indiana,983003,8951,284324,4323,116849,2606,201669,3724,175827,3925,204334,3620
0400000US19,19,Iowa,522254,5470,152131,3164,50337,2281,106461,2486,107184,2529,106141,2644
0400000US20,20,Kansas,558357,5938,163246,2889,53925,2003,121461,2969,103948,2912,115777,2922
0400000US21,21,Kentucky,618143,7449,185036,3688,65441,2495,123439,3137,110701,3022,133526,3449
0400000US22,22,Louisiana,641430,7339,181745,4172,76228,2471,129080,3499,118404,2944,135973,3589
0400000US23,23,Maine,262440,4122,88201,2240,26679,1497,37911,1723,42348,1353,67301,2297
0400000US24,24,Maryland,1435085,8789,588532,6211,119467,2819,258728,4248,153787,3598,314571,4767
0400000US25,25,Massachusetts,1767926,9270,698629,6316,142146,3343,322458,4962,174318,3465,430375,5051
0400000US26,26,Michigan,1693007,11244,550634,5973,177527,3569,359618,5635,268531,4396,336697,4859
0400000US27,27,Minnesota,1160277,6828,385714,4905,109492,2112,231222,3440,172938,3010,260911,4002
0400000US28,28,Mississippi,383684,4929,95976,3180,44517,1967,84969,2659,87359,2558,70863,2551
0400000US29,29,Missouri,1044801,8633,310437,4543,101240,2915,226557,4166,185398,3513,221169,4066
0400000US30,30,Montana,195241,3469,69050,2271,20267,1098,29138,1481,36971,1638,39815,1515
0400000US31,31,Nebraska,341014,3809,94879,2335,36071,1531,74666,2174,67548,1870,67850,1995
0400000US32,32,Nevada,402429,6577,123012,3439,40669,1920,95673,3066,54780,2137,88295,2997
0400000US33,33,New Hampshire,307597,4406,112333,2574,26228,1224,60254,1901,39045,1632,69737,2232
0400000US34,34,New Jersey,2149817,10701,792982,8295,173487,3173,472319,5253,259061,4870,451968,5737
0400000US35,35,New Mexico,347234,4986,127879,2960,28514,1451,54108,2081,58018,2561,78715,2984
0400000US36,36,New York,4356075,15493,1480028,12179,375517,5346,820682,7389,529313,6182,1150535,9880
0400000US37,37,North Carolina,1727380,11300,580248,7438,154900,3904,355259,5389,245997,3873,390976,5919
0400000US38,38,North Dakota,123001,2613,32787,1536,16175,1032,22920,1223,27059,1184,24060,1159
0400000US39,39,Ohio,1928929,11612,588753,6758,194261,3468,412574,5571,341015,4103,392326,4361
0400000US40,40,Oklahoma,580634,5427,162341,2834,56458,1809,129784,2805,116551,2762,115500,2968
0400000US41,41,Oregon,774982,7941,300679,4690,63856,2333,116021,3178,94519,2409,199907,3752
0400000US42,42,Pennsylvania,2381198,11667,800582,7288,236033,4546,460497,4853,382531,4613,501555,6641
0400000US44,44,Rhode Island,220426,3964,74468,2156,20832,1469,40440,1874,28911,1574,55775,2151
0400000US45,45,South Carolina,765736,6473,243414,4833,65424,2340,174565,3975,121311,3056,161022,3762
0400000US46,46,South Dakota,141981,2941,42227,1411,18117,1111,25529,1343,30079,1160,26029,1543
0400000US47,47,Tennessee,1017140,9000,302254,4687,96708,3093,232961,4775,167404,3684,217813,4210
0400000US48,48,Texas,4245621,20663,1436189,11178,363170,6441,986853,10339,611156,7764,848253,9518
0400000US49,49,Utah,484761,4554,158037,3150,43927,1702,92762,2669,74080,2214,115955,2959
0400000US50,50,Vermont,150995,2794,56518,1716,11200,716,18261,1039,21477,1013,43539,1648
0400000US51,51,Virginia,1898021,10901,762817,8477,140080,3361,356864,6423,199283,4027,438977,5496
0400000US53,53,Washington,1441692,10581,577614,5678,123370,3473,233782,4486,161380,3471,345546,5253
0400000US54,54,West Virginia,237591,4847,67398,2475,28646,1400,45526,1827,51642,1957,44379,1816
0400000US55,55,Wisconsin,1022088,7211,320471,4299,111495,2394,199669,3451,176674,3070,213779,3695
0400000US56,56,Wyoming,92456,2869,32387,1750,8176,789,13373,1209,20697,1245,17823,1403
0400000US72,72,Puerto Rico,566166,6869,147256,3737,54521,2161,176203,3612,114165,2885,74021,2443
